observation,internet_email,handheld,often_internet,social_media,internet_subscriber,type_internet,own_cell_phone,smartphone,connection_problems,twitter,instagram,facebook,snapchat,youtube,twitter_usage,instagram_usage,facebook_usage,snapchat_usage,youtube_usage,books,gender,household_people,age,employment_status,political_party
745,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,No,Yes,4 - Several times a week,2 - Several times a day,4 - Several times a week,Does not use,1 - Almost constantly,10.00,Woman,3.00,27.00,Full-time,Independent
746,Yes,Yes,1 - Almost constantly,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,96.00,Man,2.00,73.00,Retired,Democrat
747,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,Yes,Yes,No,Yes,1 - Almost constantly,1 - Almost constantly,2 - Several times a day,Does not use,1 - Almost constantly,1.00,Man,4.00,50.00,Full-time,Independent
748,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,Yes,No,No,Yes,4 - Several times a week,4 - Several times a week,Does not use,Does not use,3 - About once a day,6.00,Man,2.00,28.00,Full-time,Democrat
749,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,No,Yes,5 - Few times a month or less,3 - About once a day,1 - Almost constantly,Does not use,2 - Several times a day,4.00,Man,2.00,42.00,Full-time,Democrat
750,No,No,No Internet,Yes,Yes,Don't Know,Yes,No,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Man,2.00,72.00,Retired,Democrat
751,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,No,Yes,No,Yes,2 - Several times a day,Does not use,1 - Almost constantly,Does not use,1 - Almost constantly,12.00,Man,7.00,60.00,Retired,Republican
752,Yes,Yes,2 - Several times a day,Yes,No,No internet subscription,Yes,Yes,4 - Never,No,Yes,No,Yes,Yes,Does not use,2 - Several times a day,Does not use,3 - About once a day,1 - Almost constantly,50.00,Man,2.00,24.00,Full-time,Democrat
753,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,No,Yes,No,Yes,4 - Several times a week,Does not use,3 - About once a day,Does not use,5 - Few times a month or less,50.00,Man,2.00,69.00,Retired,Democrat
754,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,Yes,Yes,Yes,No,Yes,4 - Several times a week,3 - About once a day,1 - Almost constantly,Does not use,4 - Several times a week,25.00,Woman,2.00,53.00,Part-time,Independent
755,Yes,Yes,2 - Several times a day,Yes,No,No internet subscription,Yes,Yes,4 - Never,No,No,Yes,No,Yes,Does not use,Does not use,2 - Several times a day,Does not use,2 - Several times a day,20.00,Man,5.00,35.00,Full-time,Independent
756,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,Yes,Yes,Yes,Does not use,1 - Almost constantly,3 - About once a day,1 - Almost constantly,3 - About once a day,5.00,Woman,5.00,28.00,Full-time,Independent
757,Yes,No,3 - About once a day,No,Yes,Higher-speed,Yes,No,2 - Sometimes,No,No,Yes,No,No,Does not use,Does not use,2 - Several times a day,Does not use,Does not use,0.00,Woman,3.00,75.00,Retired,Democrat
758,Yes,Yes,4 - Several times a week,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,No,Yes,Yes,No,No,Does not use,3 - About once a day,3 - About once a day,Does not use,Does not use,2.00,Woman,3.00,75.00,Retired,Democrat
759,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,Yes,Yes,Yes,Yes,Yes,3 - About once a day,1 - Almost constantly,3 - About once a day,3 - About once a day,1 - Almost constantly,2.00,Woman,2.00,22.00,Part-time,Independent
760,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,5 - Few times a month or less,5 - Few times a month or less,1 - Almost constantly,2 - Several times a day,3 - About once a day,65.00,Woman,4.00,46.00,Full-time,Republican
761,Yes,Yes,4 - Several times a week,No,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,10.00,Man,1.00,34.00,Full-time,Independent
762,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,Yes,Yes,Yes,No,Yes,1 - Almost constantly,3 - About once a day,1 - Almost constantly,Does not use,3 - About once a day,2.00,Man,2.00,44.00,Full-time,Independent
763,Yes,No,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Man,1.00,,Retired,
764,Yes,Yes,1 - Almost constantly,Yes,Yes,Both low and high speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,3 - About once a day,2 - Several times a day,1 - Almost constantly,2 - Several times a day,3 - About once a day,24.00,Man,3.00,49.00,Full-time,Republican
765,Yes,Yes,4 - Several times a week,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Man,2.00,42.00,Full-time,
766,Yes,Yes,1 - Almost constantly,Yes,Yes,Both low and high speed,Yes,Yes,4 - Never,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,1 - Almost constantly,20.00,Man,5.00,34.00,Full-time,Republican
767,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,No,No,Yes,Does not use,1 - Almost constantly,Does not use,Does not use,2 - Several times a day,3.00,Man,2.00,30.00,Full-time,Democrat
768,Yes,Yes,1 - Almost constantly,No,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,25.00,Man,2.00,69.00,Full-time,Democrat
769,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,5 - Few times a month or less,3 - About once a day,1 - Almost constantly,1 - Almost constantly,3 - About once a day,15.00,Woman,4.00,49.00,Part-time,Republican
770,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,2.00,Woman,2.00,56.00,Retired,Democrat
771,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,No,No,Yes,Does not use,2 - Several times a day,Does not use,Does not use,2 - Several times a day,50.00,Man,2.00,28.00,Full-time,Democrat
772,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,No,No,Yes,5 - Few times a month or less,5 - Few times a month or less,Does not use,Does not use,3 - About once a day,15.00,Woman,1.00,57.00,Full-time,Independent
773,Yes,No,2 - Several times a day,No,No,No internet subscription,Yes,Yes,4 - Never,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Man,4.00,60.00,Full-time,Republican
774,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,Yes,Yes,No,No,Yes,3 - About once a day,4 - Several times a week,Does not use,Does not use,3 - About once a day,10.00,Man,4.00,38.00,Full-time,Democrat
775,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,5 - Few times a month or less,97+,Man,4.00,35.00,Other,Independent
776,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,No,Yes,Yes,Yes,Yes,Does not use,5 - Few times a month or less,1 - Almost constantly,1 - Almost constantly,2 - Several times a day,96.00,Woman,3.00,33.00,Not employed,Republican
777,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,Yes,No,Yes,Does not use,2 - Several times a day,5 - Few times a month or less,Does not use,3 - About once a day,50.00,Man,2.00,62.00,Retired,Democrat
778,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,4 - Several times a week,10.00,Woman,5.00,67.00,Retired,Democrat
779,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,Yes,No,Yes,Does not use,4 - Several times a week,5 - Few times a month or less,Does not use,3 - About once a day,3.00,Woman,4.00,43.00,Not employed,
780,No,No,No Internet,No,Yes,Don't Know,Yes,Don't Know,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,20.00,Man,1.00,65.00,Retired,Republican
781,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,Yes,No,Does not use,2 - Several times a day,2 - Several times a day,2 - Several times a day,Does not use,24.00,Woman,2.00,24.00,Full-time,Republican
782,No,No,No Internet,No,No,No internet subscription,Yes,No,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,4.00,Woman,1.00,78.00,Retired,Republican
783,Yes,Yes,3 - About once a day,No,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,3.00,Man,1.00,75.00,Retired,
784,Yes,Yes,1 - Almost constantly,No,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,No,Yes,Yes,Does not use,3 - About once a day,Does not use,1 - Almost constantly,1 - Almost constantly,0.00,Man,4.00,18.00,Not employed,Don't Know
785,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,Yes,Yes,Yes,Yes,1 - Almost constantly,1 - Almost constantly,1 - Almost constantly,1 - Almost constantly,1 - Almost constantly,3.00,Man,7.00,20.00,Part-time,Democrat
786,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,Yes,No,No,Does not use,Does not use,2 - Several times a day,Does not use,Does not use,1.00,Man,4.00,42.00,Full-time,Republican
787,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,2 - Several times a day,5.00,Man,2.00,65.00,Full-time,Independent
788,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,No,Yes,Yes,Does not use,1 - Almost constantly,Does not use,1 - Almost constantly,1 - Almost constantly,3.00,Man,4.00,21.00,Part-time,Independent
789,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,Yes,Yes,No,No,Yes,2 - Several times a day,4 - Several times a week,Does not use,Does not use,4 - Several times a week,12.00,Man,2.00,56.00,Full-time,Independent
790,Yes,Yes,1 - Almost constantly,No,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,2 - Several times a day,Don't Know,Man,2.00,71.00,Not employed,Independent
791,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,No,Yes,No,Yes,5 - Few times a month or less,Does not use,1 - Almost constantly,Does not use,3 - About once a day,0.00,Man,2.00,40.00,Full-time,Democrat
792,Yes,Yes,2 - Several times a day,No,No,No internet subscription,Yes,Yes,1 - Often,Yes,Yes,Yes,No,Yes,Don't Know,5 - Few times a month or less,5 - Few times a month or less,Does not use,1 - Almost constantly,20.00,Man,1.00,30.00,Part-time,Independent
793,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,Yes,Yes,Yes,Does not use,2 - Several times a day,1 - Almost constantly,,1 - Almost constantly,4.00,Man,3.00,35.00,Full-time,Other party
794,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,No,No,Yes,No,Yes,Does not use,Does not use,2 - Several times a day,Does not use,4 - Several times a week,1.00,Man,2.00,45.00,Full-time,Independent
795,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,2 - Several times a day,0.00,Man,2.00,73.00,Retired,Republican
796,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,4 - Several times a week,1 - Almost constantly,1 - Almost constantly,3 - About once a day,1 - Almost constantly,30.00,Woman,2.00,28.00,Full-time,Democrat
797,Yes,Yes,2 - Several times a day,Yes,No,No internet subscription,Yes,Yes,3 - Rarely,No,No,Yes,No,No,Does not use,Does not use,4 - Several times a week,Does not use,Does not use,0.00,Man,1.00,68.00,Not employed,Democrat
798,Yes,Yes,2 - Several times a day,No,Don't Know,No internet subscription,Yes,Yes,3 - Rarely,No,No,No,Yes,Yes,Does not use,Does not use,Does not use,2 - Several times a day,1 - Almost constantly,9.00,Man,4.00,20.00,Not employed,Democrat
799,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,Yes,No,No,No,Yes,1 - Almost constantly,Does not use,Does not use,Does not use,1 - Almost constantly,7.00,Man,1.00,39.00,Full-time,Independent
800,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,No,Yes,No,Yes,4 - Several times a week,Does not use,1 - Almost constantly,Does not use,3 - About once a day,3.00,Woman,2.00,48.00,Other,Republican
801,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,No,Yes,Yes,Yes,Yes,Does not use,1 - Almost constantly,1 - Almost constantly,1 - Almost constantly,3 - About once a day,5.00,Man,8+,33.00,Full-time,Independent
802,Yes,Yes,4 - Several times a week,No,No,No internet subscription,Yes,No,4 - Never,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,3.00,Man,3.00,56.00,Other,Republican
803,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,No,Yes,2 - Several times a day,2 - Several times a day,2 - Several times a day,Does not use,3 - About once a day,20.00,Woman,4.00,54.00,Full-time,Independent
804,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,2 - Several times a day,6.00,Woman,4.00,30.00,Part-time,Independent
805,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,No,Yes,Yes,Does not use,3 - About once a day,Does not use,1 - Almost constantly,2 - Several times a day,2.00,Man,3.00,24.00,Not employed,Independent
806,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,Yes,Yes,Yes,No,Yes,3 - About once a day,3 - About once a day,2 - Several times a day,Does not use,2 - Several times a day,20.00,Man,5.00,38.00,Full-time,Independent
807,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,3 - About once a day,8.00,Woman,5.00,40.00,Part-time,Democrat
808,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,5 - Few times a month or less,Does not use,1 - Almost constantly,20.00,Man,1.00,64.00,Full-time,Democrat
809,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,3 - About once a day,2 - Several times a day,5 - Few times a month or less,1 - Almost constantly,4 - Several times a week,50.00,Woman,1.00,,Not employed,Independent
810,Yes,Yes,2 - Several times a day,No,Yes,Don't Know,Yes,Yes,3 - Rarely,No,No,Yes,No,No,Does not use,Does not use,5 - Few times a month or less,Does not use,Does not use,0.00,Woman,1.00,79.00,Part-time,Republican
811,Yes,Yes,2 - Several times a day,Yes,No,No internet subscription,Yes,Yes,3 - Rarely,No,No,Yes,Yes,No,Does not use,Does not use,1 - Almost constantly,1 - Almost constantly,Does not use,0.00,Woman,3.00,24.00,Full-time,Independent
812,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,Yes,Yes,No,Yes,3 - About once a day,3 - About once a day,3 - About once a day,Does not use,3 - About once a day,96.00,Woman,2.00,65.00,Part-time,Democrat
813,Yes,No,3 - About once a day,Yes,No,No internet subscription,Yes,Yes,4 - Never,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,12.00,Man,2.00,63.00,Retired,Don't Know
814,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,5 - Few times a month or less,2 - Several times a day,1 - Almost constantly,1 - Almost constantly,3 - About once a day,0.00,Woman,3.00,21.00,Full-time,Republican
815,Yes,Yes,2 - Several times a day,Yes,Yes,Both low and high speed,Yes,Yes,3 - Rarely,Yes,No,Yes,No,Yes,3 - About once a day,Does not use,2 - Several times a day,Does not use,1 - Almost constantly,60.00,Man,1.00,68.00,Part-time,Democrat
816,Yes,No,5 - Few times a month or less,Yes,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,5 - Few times a month or less,Does not use,1 - Almost constantly,12.00,Man,1.00,81.00,Retired,Independent
817,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,3 - About once a day,3 - About once a day,3 - About once a day,3 - About once a day,3 - About once a day,12.00,Man,1.00,20.00,Full-time,Independent
818,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,Yes,Yes,Yes,Does not use,3 - About once a day,1 - Almost constantly,3 - About once a day,1 - Almost constantly,20.00,Man,3.00,50.00,Full-time,Democrat
819,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,2 - Several times a day,3 - About once a day,3 - About once a day,3 - About once a day,1 - Almost constantly,5.00,Other,3.00,23.00,Full-time,Independent
820,Yes,Yes,1 - Almost constantly,Yes,No,No internet subscription,Yes,Yes,1 - Often,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,1 - Almost constantly,2.00,Man,4.00,22.00,Part-time,Democrat
821,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,3 - About once a day,15.00,Man,1.00,37.00,Full-time,Independent
822,Yes,Yes,3 - About once a day,Yes,No,No internet subscription,Yes,Yes,4 - Never,No,No,Yes,No,No,Does not use,Does not use,3 - About once a day,Does not use,Does not use,2.00,Man,1.00,73.00,Retired,Democrat
823,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,6.00,Man,2.00,81.00,Retired,Republican
824,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,Yes,No,Yes,Does not use,2 - Several times a day,3 - About once a day,Does not use,1 - Almost constantly,20.00,Woman,4.00,22.00,Full-time,Independent
825,Yes,Yes,1 - Almost constantly,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,5 - Few times a month or less,Does not use,1 - Almost constantly,2.00,Man,4.00,35.00,Full-time,Independent
826,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,No,Yes,Yes,Yes,Yes,Does not use,2 - Several times a day,3 - About once a day,1 - Almost constantly,2 - Several times a day,20.00,Man,8+,19.00,Other,Democrat
827,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,2 - Several times a day,Does not use,3 - About once a day,15.00,Man,,59.00,Full-time,Independent
828,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,No,No,Yes,Does not use,3 - About once a day,Does not use,Does not use,1 - Almost constantly,7.00,Man,1.00,34.00,Part-time,Democrat
829,Yes,Yes,1 - Almost constantly,No,Yes,Don't Know,Yes,Yes,3 - Rarely,Yes,No,Yes,No,Yes,3 - About once a day,Does not use,3 - About once a day,Does not use,2 - Several times a day,3.00,Man,2.00,22.00,Not employed,Independent
830,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,2 - Several times a day,Does not use,2 - Several times a day,55.00,Man,4.00,40.00,Full-time,Democrat
831,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,3 - About once a day,0.00,Woman,2.00,51.00,Full-time,Democrat
832,Yes,No,3 - About once a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,6.00,Woman,3.00,60.00,Retired,Republican
833,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,1 - Almost constantly,2 - Several times a day,1 - Almost constantly,5 - Few times a month or less,1 - Almost constantly,6.00,Man,2.00,41.00,Full-time,Independent
834,Yes,Yes,3 - About once a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,5.00,Man,1.00,24.00,Full-time,Independent
835,Yes,Yes,5 - Few times a month or less,Yes,No,No internet subscription,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,3.00,Woman,3.00,58.00,Full-time,Independent
836,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,4 - Several times a week,12.00,Man,2.00,65.00,Full-time,Republican
837,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,4 - Several times a week,4 - Several times a week,2 - Several times a day,2 - Several times a day,3 - About once a day,8.00,Woman,5.00,47.00,Full-time,Republican
838,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,1 - Almost constantly,3.00,Man,4.00,48.00,Full-time,Democrat
839,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,Yes,Yes,Yes,Yes,Yes,5 - Few times a month or less,5 - Few times a month or less,2 - Several times a day,2 - Several times a day,1 - Almost constantly,15.00,Woman,4.00,44.00,Full-time,Independent
840,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,Yes,Yes,No,Yes,1 - Almost constantly,2 - Several times a day,3 - About once a day,Does not use,3 - About once a day,50.00,Woman,4.00,50.00,Full-time,Democrat
841,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,Yes,Yes,Does not use,2 - Several times a day,3 - About once a day,1 - Almost constantly,3 - About once a day,20.00,Man,2.00,25.00,Full-time,Independent
842,Yes,Yes,3 - About once a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,No,Does not use,Does not use,1 - Almost constantly,Does not use,Does not use,0.00,Woman,2.00,82.00,Retired,Independent
843,Yes,Yes,2 - Several times a day,Yes,No,No internet subscription,Yes,No,2 - Sometimes,No,Yes,Yes,No,Yes,Does not use,5 - Few times a month or less,3 - About once a day,Does not use,1 - Almost constantly,17.00,Man,1.00,26.00,Part-time,Democrat
844,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,5.00,Man,2.00,77.00,Full-time,Republican
845,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,Yes,Yes,Yes,Yes,Does not use,2 - Several times a day,1 - Almost constantly,1 - Almost constantly,3 - About once a day,0.00,Man,2.00,24.00,Full-time,Republican
846,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,1 - Almost constantly,1 - Almost constantly,1 - Almost constantly,1 - Almost constantly,1 - Almost constantly,20.00,Woman,3.00,,Full-time,
847,Yes,Yes,4 - Several times a week,Yes,No,No internet subscription,Yes,Yes,4 - Never,No,No,Yes,No,No,Does not use,Does not use,3 - About once a day,Does not use,Does not use,0.00,Man,1.00,59.00,Retired,Republican
848,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,4 - Several times a week,Does not use,1 - Almost constantly,0.00,Man,4.00,55.00,Full-time,Independent
849,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,3 - About once a day,1 - Almost constantly,3 - About once a day,1 - Almost constantly,3 - About once a day,18.00,Woman,2.00,22.00,Full-time,Republican
850,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,2 - Several times a day,10.00,Woman,2.00,27.00,Full-time,Republican
851,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,Yes,Yes,Does not use,Does not use,1 - Almost constantly,3 - About once a day,5 - Few times a month or less,0.00,Woman,,48.00,Full-time,
852,Yes,Yes,3 - About once a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,5 - Few times a month or less,Does not use,3 - About once a day,0.00,Man,3.00,44.00,Part-time,Republican
853,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,Yes,Yes,Yes,Does not use,Does not use,2 - Several times a day,5 - Few times a month or less,4 - Several times a week,1.00,Man,3.00,68.00,Retired,Democrat
854,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,45.00,Man,5.00,19.00,Not employed,Independent
855,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,No,No,Yes,Yes,3 - About once a day,Does not use,Does not use,1 - Almost constantly,1 - Almost constantly,8.00,Woman,5.00,18.00,Not employed,Democrat
856,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,No,Yes,No,Yes,4 - Several times a week,Does not use,4 - Several times a week,Does not use,4 - Several times a week,6.00,Man,5.00,49.00,Full-time,Republican
