observation,internet_email,handheld,often_internet,social_media,internet_subscriber,type_internet,own_cell_phone,smartphone,connection_problems,twitter,instagram,facebook,snapchat,youtube,twitter_usage,instagram_usage,facebook_usage,snapchat_usage,youtube_usage,books,gender,household_people,age,employment_status,political_party
1319,Yes,Yes,3 - About once a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,1 - Almost constantly,3.00,Man,3.00,25.00,Not employed,Republican
1320,Yes,Yes,5 - Few times a month or less,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,No,Does not use,Does not use,5 - Few times a month or less,Does not use,Does not use,12.00,Woman,1.00,65.00,Full-time,Independent
1321,Yes,Yes,4 - Several times a week,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,2 - Several times a day,Does not use,3 - About once a day,10.00,Man,4.00,66.00,Retired,Republican
1322,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,Yes,Yes,Yes,No,Yes,1 - Almost constantly,5 - Few times a month or less,3 - About once a day,Does not use,2 - Several times a day,70.00,Man,2.00,49.00,Full-time,Independent
1323,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,5.00,Man,2.00,66.00,Full-time,Republican
1324,Yes,Yes,2 - Several times a day,Yes,No,No internet subscription,Yes,Yes,1 - Often,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,2 - Several times a day,0.00,Woman,1.00,50.00,Part-time,Independent
1325,Yes,Yes,2 - Several times a day,No,Yes,Dial-up,Yes,Yes,2 - Sometimes,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,5.00,Man,,25.00,Other,Independent
1326,Yes,Yes,4 - Several times a week,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,Yes,Yes,Does not use,Does not use,Does not use,1 - Almost constantly,2 - Several times a day,0.00,Man,4.00,19.00,Part-time,Democrat
1327,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,No,Yes,4 - Several times a week,2 - Several times a day,5 - Few times a month or less,Does not use,1 - Almost constantly,6.00,Man,4.00,39.00,Full-time,Democrat
1328,Yes,Yes,4 - Several times a week,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,25.00,Man,3.00,67.00,Part-time,Republican
1329,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,2 - Several times a day,0.00,Man,,30.00,Full-time,Independent
1330,Yes,Yes,4 - Several times a week,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,No,Yes,Does not use,3 - About once a day,1 - Almost constantly,Does not use,2 - Several times a day,15.00,Woman,2.00,67.00,Retired,Republican
1331,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,No,Yes,Yes,2 - Several times a day,1 - Almost constantly,Does not use,2 - Several times a day,1 - Almost constantly,6.00,Man,2.00,20.00,Not employed,Democrat
1332,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,No,Yes,Does not use,2 - Several times a day,2 - Several times a day,Does not use,1 - Almost constantly,12.00,Man,1.00,24.00,Full-time,Democrat
1333,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,5 - Few times a month or less,Does not use,1 - Almost constantly,3.00,Man,1.00,26.00,Full-time,Independent
1334,Yes,Yes,3 - About once a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,4 - Several times a week,3.00,Man,1.00,62.00,Full-time,Independent
1335,Yes,Yes,3 - About once a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,2 - Several times a day,1.00,Woman,,55.00,Not employed,Republican
1336,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,5 - Few times a month or less,Does not use,5 - Few times a month or less,12.00,Man,3.00,71.00,Retired,Independent
1337,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,2 - Several times a day,Does not use,3 - About once a day,10.00,Woman,,,Full-time,Democrat
1338,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,Yes,Yes,Yes,Yes,1 - Almost constantly,1 - Almost constantly,1 - Almost constantly,1 - Almost constantly,1 - Almost constantly,10.00,Man,5.00,48.00,Full-time,Independent
1339,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,3 - About once a day,20.00,Woman,2.00,70.00,Retired,Independent
1340,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,No,Yes,5 - Few times a month or less,2 - Several times a day,2 - Several times a day,Does not use,2 - Several times a day,12.00,Man,2.00,72.00,Other,Republican
1341,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,40.00,Man,3.00,39.00,Full-time,Independent
